name;addresses_road_name;addresses_neighborhood_name;addresses_district_name;addresses_zip_code;url;imatge;geometry/type;geometry/coordinates_0;geometry/coordinates_1;coord0;coord01
Roure martinenc del parc de la Tamarita;Jardins de La Tamarita,12;Sant Gervasi - la Bonanova;Sarrià-Sant Gervasi;08022;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/roure-martinenc-del-parc-de-la-tamarita_99400454957.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610031218140133-05-98_1.optimized.f5be4446.jpg;Point;427718.8;4584710.19;42.771879999999996;45.847101900000006
Roures martinencs de l'Avinguda Diagonal;Av Diagonal,698;Pedralbes;Les Corts;08034;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/roures-martinencs-de-l-avinguda-diagonal_99400454960.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061319160112-04-96_1.optimized.7a6afb20.jpg;Point;425632.6079;4581825.65;42.56326079;45.818256500000004
Àlber del carrer Xavier Nogués;Carrer de Xavier Nogués,43;el Besòs i el Maresme;Sant Martí;08019;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/alber-del-carrer-xavier-nogues_99400454973.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610111302310135-10-98-7-5.optimized.7ab1d55e.jpg;Point;434444.5209;4585123.43;43.44445209;45.851234299999994
Magnòlies dels jardins del claustre de la Catedral;Carrer del Bisbe,10;el Barri Gòtic;Ciutat Vella;08002;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/magnolies-dels-jardins-del-claustre-de-la-catedral_99400455059.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610200936400050-01-93_2.optimized.8d974d17.jpg;Point;431108.2397;4581697.356;43.11082397;45.816973559999994
Taronger de Louisiana del carrer Maria Montessori;Carrer de Maria Montessori,1;el Poble-sec;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/taronger-de-louisiana-del-carrer-maria-montessori_99400455061.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061428300136-03-98_1.optimized.7b450207.jpg;Point;429369.4179;4580254.177;42.93694179;45.802541770000005
Molles cendrosos del carrer Sant Pere Claver;Carrer de Sant Pere Claver,13;Sarrià;Sarrià-Sant Gervasi;08017;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/molles-cendrosos-del-carrer-sant-pere-claver_99400455062.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061055400099-05-94_1.optimized.07eac391.jpg;Point;426201.8848;4584253.281;42.62018848;45.84253281
Lledoner de la  Plaça Josep Andreu Abelló;" Plaça de Josep Andreu i Abelló,4";la Trinitat Vella;Sant Andreu;08033;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/lledoner-de-la-placa-josep-andreu-abello_99400455064.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610110913450164-09-13_1.optimized.d5d12e52.jpg;Point;432351.982;4588823.173;43.2351982;45.88823173
Ginjoler del carrer Arimon;Carrer d'Arimon,14;Sant Gervasi - la Bonanova;Sarrià-Sant Gervasi;08022;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/ginjoler-del-carrer-arimon_99400455076.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610251121490148-05-07_2.optimized.cb0eca1b.jpg;Point;427887.3015;4584046.215;42.78873015;45.84046215
Garrofer del viaducte del Park Güell;Carretera del Carmel,23;la Salut;Gràcia;08024;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/garrofer-del-viaducte-del-park-guell_99400455077.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610031204000036-06-93_4.optimized.7a202622.jpg;Point;429271.4498;4585183.717;42.92714498;45.85183717
Xicranda de la Via Augusta;Via Augusta,202;Sant Gervasi - Galvany;Sarrià-Sant Gervasi;08021;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/xicranda-de-la-via-augusta_99400680098.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/Xicranda_de_la_Via_Augusta.optimized.375c6813.jpg;Point;428110.3933;4583305.399;42.81103933;45.83305399
Teix de l'Escola Pia de Sarrià;Carrer de la Immaculada,25;Sant Gervasi - la Bonanova;Sarrià-Sant Gervasi;08017;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/teix-de-l-escola-pia-de-sarria_99400680100.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/Teix_de_lEscola_Pia_de_Sarria.optimized.e5ff38eb.jpg;Point;426840.539;4584300.301;42.6840539;45.84300301
Lledoner del barri d'Horta;Carrer de Lloret de Mar,47;Horta;Horta-Guinardó;08031;https://guia.barcelona.cat/es/detall/lledoner-del-barri-d-horta_99400680092.html;;Point;429501.2044;4587364.202;42.95012044;45.87364202
Magn·lia dels jardins de la Maternitat;Carrer d'Elisabeth Eidenbenz,23;la Maternitat i Sant Ramon;Les Corts;08028;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/magnolia-dels-jardins-de-la-maternitat_99400680094.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/Magnolia_dels_jardins_de_la_Maternitat.optimized.36b60d79.jpg;Point;426857.4496;4581536.652;42.68574496;45.81536652
Washingtònies de la  Plaça Francesc Macià;Pl Francesc Macià,6;Sant Gervasi - Galvany;Sarrià-Sant Gervasi;08021;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/washingtonies-de-la-placa-francesc-macia_99400454982.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610251013340026-04-93_1.optimized.7f3ba145.jpg;Point;428415.4146;4582723.054;42.84154146;45.827230539999995
Olivera del Park Güell;Carretera del Carmel,19;la Salut;Gràcia;08024;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/olivera-del-park-guell_99400454989.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610031301380117-06-96_1.optimized.ebb2e361.jpg;Point;429373.5418;4585162.18;42.93735418;45.8516218
Xiprer quadrivalve dels jardins del Palau de Pedralbes;Avinguda Diagonal,686;Pedralbes;Les Corts;08034;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/xiprer-quadrivalve-dels-jardins-del-palau-de-pedralbes_99400454990.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610270856000047-04-93_1.optimized.43ee680b.jpg;Point;426282.1105;4582090.593;42.628211050000004;45.82090593
Pi pinyer del carrer Natzaret;Carrer de Natzaret,16;Sant Genís dels Agudells;Horta-Guinardó;08035;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/pi-pinyer-del-carrer-natzaret_99400454996.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610121018280121-07-96_1.optimized.203213d4.jpg;Point;428065.5033;4586071.073;42.80655033;45.86071073
Acàcia de les tres punxes de l'estació de Sant Andreu Comtal;" Plaça de l'Estació,11";Sant Andreu;Sant Andreu;08030;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/acacia-de-les-tres-punxes-de-l-estacio-de-sant-andreu-comtal_99400455084.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061456440037-09-93_1.optimized.5bb318cb.jpg;Point;432579.6814;4587471.106;43.25796814;45.874711059999996
