dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2025-03-04T00:00:00.000;Embassament de Sau (Vilanova de Sau);379.78;7;11.5
2025-03-04T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.97;33.9;27.12
2025-03-04T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.92;9.3;1.14
2025-03-04T00:00:00.000;Embassament de Riudecanyes;205.44;24;1.28
2025-03-04T00:00:00.000;Embassament de la Baells (Cercs);613.26;53.9;58.97
2025-03-04T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.04;92.2;3.45
2025-03-04T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.79;16.7;10.23
2025-03-03T00:00:00.000;Embassament de la Baells (Cercs);613.26;53.9;58.97
2025-03-03T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.07;92.5;3.46
2025-03-03T00:00:00.000;Embassament de Susqueda (Osor);317.69;38.4;89.39
2025-03-03T00:00:00.000;Embassament de Sau (Vilanova de Sau);379.53;6.7;11.13
2025-03-03T00:00:00.000;Embassament de Riudecanyes;205.44;24;1.28
2025-03-03T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.1;56;13.65
2025-03-03T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.93;9.3;1.14
2025-03-03T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.79;16.7;10.23
2025-03-03T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.88;33.8;27
2025-03-02T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.79;16.7;10.23
2025-03-02T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.08;92.7;3.47
2025-03-02T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.76;33.6;26.86
2025-03-02T00:00:00.000;Embassament de la Baells (Cercs);613.27;53.9;58.99
2025-03-02T00:00:00.000;Embassament de Susqueda (Osor);317.76;38.5;89.6
2025-03-02T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);521.03;55.7;13.59
2025-03-02T00:00:00.000;Embassament de Sau (Vilanova de Sau);379.4;6.6;10.93
2025-03-02T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.93;9.3;1.14
