dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2024-04-16T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.82;60.2;2.25
2024-04-16T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.51;11.7;7.13
2024-04-16T00:00:00.000;Embassament de la Baells (Cercs);596.36;25.5;27.91
2024-04-15T00:00:00.000;Embassament de la Baells (Cercs);596.34;25.5;27.88
2024-04-15T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.85;60.6;2.27
2024-04-15T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.53;11.7;7.15
2024-04-14T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.55;11.7;7.16
2024-04-14T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.87;60.8;2.27
2024-04-14T00:00:00.000;Embassament de la Baells (Cercs);596.28;25.4;27.8
2024-04-13T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.87;60.8;2.28
2024-04-13T00:00:00.000;Embassament de la Baells (Cercs);596.2;25.3;27.7
2024-04-13T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.56;11.7;7.17
2024-04-12T00:00:00.000;Embassament de la Baells (Cercs);596.12;25.2;27.6
2024-04-12T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.88;60.9;2.28
2024-04-12T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.58;11.8;7.18
2024-04-11T00:00:00.000;Embassament de la Baells (Cercs);596.04;25.1;27.49
2024-04-11T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.89;61.1;2.28
2024-04-11T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.59;11.8;7.19
2024-04-10T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.92;61.5;2.3
2024-04-10T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.6;11.8;7.2
2024-04-10T00:00:00.000;Embassament de la Baells (Cercs);595.94;25;27.35
2024-04-09T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.62;11.8;7.22
2024-04-09T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.95;61.9;2.31
2024-04-09T00:00:00.000;Embassament de la Baells (Cercs);595.81;24.8;27.18
2024-04-08T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.98;62.2;2.33
2024-04-08T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.63;11.8;7.23
2024-04-08T00:00:00.000;Embassament de la Baells (Cercs);595.66;24.7;26.99
2024-04-07T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.63;11.8;7.23
2024-04-07T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.98;62.3;2.33
2024-04-07T00:00:00.000;Embassament de la Baells (Cercs);595.49;24.5;26.76
2024-04-06T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.63;11.8;7.23
2024-04-06T00:00:00.000;Embassament de la Baells (Cercs);595.3;24.2;26.52
2024-04-06T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.99;62.4;2.33
2024-04-05T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.63;11.8;7.23
2024-04-05T00:00:00.000;Embassament de Foix (Castellet i la Gornal);97.99;62.4;2.33
2024-04-05T00:00:00.000;Embassament de la Baells (Cercs);595.11;24;26.27
2024-04-04T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.6;11.8;7.2
2024-04-04T00:00:00.000;Embassament de la Baells (Cercs);594.9;23.8;26.01
2024-04-04T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98;62.5;2.34
2024-04-03T00:00:00.000;Embassament de la Baells (Cercs);594.67;23.5;25.71
2024-04-03T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98;62.5;2.34
2024-04-03T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.59;11.8;7.2
2024-04-02T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98;62.6;2.34
2024-04-02T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.57;11.7;7.17
2024-04-02T00:00:00.000;Embassament de la Baells (Cercs);594.39;23.2;25.36
2024-04-01T00:00:00.000;Embassament de la Baells (Cercs);593.98;22.7;24.86
2024-04-01T00:00:00.000;Embassament de Darnius Boadella (Darnius);132.55;11.7;7.15
2024-04-01T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.01;62.5;2.34
